epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
1,18,0.4750283,0.47409767,nan,0.47409767,nan,0.07528951,0.051753696,0.02353581,0.00010122408,1265.4353,0.004,0.012345679,0.012345679,0.08838682,0.088157736,nan,0.088157736,nan,0.018453408,0.014133094,0.0043203137,0.00010285773,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
2,36,0.0868543,0.08645383,nan,0.20274699,nan,0.016115,0.0129550835,0.0031599188,0.0001038674,74.69962,0.004,0.024691358,0.024691358,0.0829988,0.082700536,nan,0.0843377,nan,0.011975202,0.011131819,0.00084338244,0.00010472107,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
3,54,0.08457747,0.084178835,nan,0.11974928,nan,0.0106580965,0.009820505,0.0008375931,0.000105050225,36.620235,0.004,0.037037037,0.037037037,0.08218442,0.081845626,nan,0.08259325,nan,0.009042244,0.0087034255,0.00033881937,0.000105215295,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
4,72,0.08384075,0.083400846,nan,0.094305374,nan,0.008802938,0.008314882,0.00048805412,0.00010504256,38.502888,0.004,0.049382716,0.049382716,0.08207114,0.08165733,nan,0.0819381,nan,0.008275096,0.008025772,0.00024932405,0.00010471139,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
5,90,0.083511814,0.08299175,nan,0.08638584,nan,0.008320875,0.007950816,0.00037005905,0.0001042105,26.680298,0.004,0.061728396,0.061728396,0.082077466,0.08157715,nan,0.08168544,nan,0.008001603,0.007845467,0.00015613713,0.0001035801,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
6,108,0.083466664,0.08285309,nan,0.08391291,nan,0.008180467,0.007832188,0.00034827946,0.00010289366,49.258823,0.004,0.074074075,0.074074075,0.08198856,0.0813931,nan,0.0814808,nan,0.007936617,0.007734454,0.00020216379,0.000102075166,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
7,126,0.08322251,0.08252181,nan,0.08293914,nan,0.008006798,0.0076896376,0.00031716112,0.00010124742,28.42631,0.004,0.086419754,0.086419754,0.081877306,0.08119824,nan,0.081283,nan,0.007757496,0.007561189,0.00019630798,0.00010027697,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
8,144,0.08311156,0.08232893,nan,0.08251199,nan,0.0078249825,0.0075294515,0.00029553057,9.930796e-05,35.166183,0.004,0.09876543,0.09876543,0.08182805,0.08106812,nan,0.08113258,nan,0.007596068,0.0073947264,0.00020134069,9.819599e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
9,162,0.082962595,0.08210154,nan,0.082224675,nan,0.0076522487,0.007370208,0.00028204123,9.712385e-05,32.013275,0.004,0.11111111,0.11111111,0.081680775,0.080845185,nan,0.0809314,nan,0.007424439,0.0072788773,0.00014556161,9.5896896e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
10,180,0.082814716,0.081883095,nan,0.08198557,nan,0.007451459,0.007167202,0.00028425653,9.475482e-05,27.925228,0.004,0.12345679,0.12345679,0.08161051,0.080711596,nan,0.08077754,nan,0.0071877316,0.007055489,0.00013224319,9.3446884e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,45,182,0.21141867258157532,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_train_",False,False,3.5365105689885986e-05,4.0705652767185754e-05,80,0,0.0,0.03842704560271244,0.0022766178202343413,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.21142,TRAIN.KL.CO_WEIGHT=3.5365e-05,TRAIN.KL.IC_WEIGHT=4.0706e-05,TRAIN.L2.CON_2021-08-05_23-18-03jywqbzk1/model_dir",True,True,5000,True,True,False
