epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
1,2,1.0423901,1.0406682,nan,1.0406682,nan,0.13932621,0.1378704,0.0014558069,0.00014481675,1488.7512,0.004,0.012345679,0.012345679,0.9316129,0.9303561,nan,0.9303561,nan,0.10165773,0.10026925,0.0013884791,0.00014506311,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
2,4,0.8982117,0.8960457,nan,0.93943244,nan,0.08758181,0.08621479,0.001367031,0.0001452066,1502.1274,0.004,0.024691358,0.024691358,0.7690802,0.76790744,nan,0.81664205,nan,0.047352932,0.045809038,0.0015438935,0.0001457501,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
3,6,0.723412,0.7219033,nan,0.78716207,nan,0.040587153,0.03918031,0.0014068478,0.00014599637,2133.76,0.004,0.037037037,0.037037037,0.565176,0.5642448,nan,0.639964,nan,0.024996357,0.02337068,0.0016256777,0.00014679917,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
4,8,0.5122854,0.51112515,nan,0.5939362,nan,0.023347966,0.021413542,0.0019344222,0.00014709565,2839.7915,0.004,0.049382716,0.049382716,0.35170656,0.35079184,nan,0.43754348,nan,0.018375393,0.016168268,0.0022071237,0.00014800909,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
5,10,0.30742595,0.30622226,nan,0.39253643,nan,0.019351508,0.016279878,0.0030716318,0.0001483321,2350.129,0.004,0.061728396,0.061728396,0.19280696,0.1913717,nan,0.26522323,nan,0.02310181,0.015655767,0.0074460437,0.0001493076,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
6,12,0.17117241,0.16938229,nan,0.23632853,nan,0.02401711,0.015762277,0.008254834,0.00014963516,1532.1301,0.004,0.074074075,0.074074075,0.13241485,0.13045427,nan,0.17088497,nan,0.026317094,0.01585799,0.010459104,0.00015059212,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
7,14,0.12473352,0.122524634,nan,0.1566658,nan,0.025409231,0.015714139,0.009695093,0.00015088342,519.9889,0.004,0.086419754,0.086419754,0.11241208,0.11049458,nan,0.1286117,nan,0.022036524,0.014998698,0.0070378273,0.00015172116,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
8,16,0.10764956,0.10562143,nan,0.12093474,nan,0.020382904,0.014540931,0.005841972,0.00015198789,251.39479,0.004,0.09876543,0.09876543,0.10209692,0.10048074,nan,0.10892003,nan,0.01621107,0.012861203,0.0033498672,0.00015276807,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
9,18,0.09868416,0.09698507,nan,0.10416997,nan,0.01513877,0.012423053,0.0027157166,0.00015301231,164.72002,0.004,0.11111111,0.11111111,0.096175864,0.0947899,nan,0.09902894,nan,0.012320007,0.010862255,0.0014577529,0.00015372284,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
10,20,0.09398076,0.092537105,nan,0.096026964,nan,0.011539683,0.010303283,0.0012363999,0.00015394963,111.028336,0.004,0.12345679,0.12345679,0.09433362,0.093078636,nan,0.09486373,nan,0.010010753,0.009096851,0.0009139024,0.00015461394,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,38,152,0.020216927386086467,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_medium_train_",False,False,2.7416073202623125e-05,4.34917969128388e-06,80,0,0.0,0.0029482452026247594,0.04455392983973447,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_medium_long/tuneLFADS_15_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.020217,TRAIN.KL.CO_WEIGHT=2.7416e-05,TRAIN.KL.IC_WEIGHT=4.3492e-06,TRAIN.L2.CO_2021-08-06_01-08-19vesn1r6d/model_dir",True,True,5000,True,True,False
