epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
1,1,1.0961611,1.0959299,nan,1.0959299,nan,0.01871035,0.015262483,0.0034478686,1.5189774e-05,1692.283,0.004,0.012345679,0.012345679,0.9383635,0.9381644,nan,0.9381644,nan,0.016108787,0.01281755,0.0032912367,1.5185488e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
2,2,1.0046844,1.0042839,nan,1.0317777,nan,0.016209833,0.0128164645,0.003393369,1.5185488e-05,1670.7764,0.004,0.024691358,0.024691358,0.86021715,0.859855,nan,0.8833478,nan,0.014652218,0.011462484,0.0031897344,1.519721e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
3,3,0.9154856,0.91492707,nan,0.9499823,nan,0.015066344,0.01177298,0.0032933638,1.519721e-05,1384.3031,0.004,0.037037037,0.037037037,0.7836465,0.78317714,nan,0.81322837,nan,0.012658243,0.009639821,0.0030184218,1.5224121e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
4,4,0.82743263,0.826771,nan,0.8637344,nan,0.013381904,0.010233247,0.0031486573,1.5224121e-05,1725.8091,0.004,0.049382716,0.049382716,0.64815074,0.6475972,nan,0.69728655,nan,0.011193716,0.008291797,0.002901919,1.5267937e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
5,5,0.70543754,0.7046934,nan,0.7524057,nan,0.012039538,0.008861718,0.0031778195,1.5267937e-05,2081.5667,0.004,0.061728396,0.061728396,0.49354067,0.49279583,nan,0.5541431,nan,0.012051214,0.0074417805,0.004609434,1.5329375e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
6,6,0.5791396,0.5781463,nan,0.6304241,nan,0.013394121,0.008154644,0.0052394774,1.5329375e-05,2733.2205,0.004,0.074074075,0.074074075,0.37659547,0.37577263,nan,0.42928377,nan,0.011093186,0.0065872157,0.0045059705,1.5400306e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
7,7,0.45458883,0.4534684,nan,0.50655514,nan,0.012949252,0.007791166,0.0051580854,1.5400306e-05,2744.5422,0.004,0.086419754,0.086419754,0.28029,0.27935135,nan,0.32433107,nan,0.010845894,0.005827455,0.005018439,1.5479965e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
8,8,0.34633595,0.3450959,nan,0.39353368,nan,0.012540197,0.006869255,0.0056709424,1.5479965e-05,2517.2786,0.004,0.09876543,0.09876543,0.20403497,0.20297796,nan,0.23938389,nan,0.01068669,0.0041366173,0.0065500727,1.5566646e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
9,9,0.25796068,0.2565055,nan,0.29761395,nan,0.013081073,0.005897437,0.0071836356,1.5566646e-05,2136.3765,0.004,0.11111111,0.11111111,0.1570861,0.15594673,nan,0.18097788,nan,0.010238685,0.0027203984,0.007518286,1.5657122e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
10,10,0.1940233,0.19241202,nan,0.2239726,nan,0.0130357,0.004888994,0.008146706,1.5657122e-05,1555.1901,0.004,0.12345679,0.12345679,0.13724653,0.13621478,nan,0.1496437,nan,0.0083415015,0.0019128739,0.0064286273,1.5749156e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,35,142,0.49601145759610393,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_small_train_",False,False,2.9076303503312823e-06,9.983287386641105e-06,80,0,0.0,0.0005801894519554886,0.004437843785587592,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_small_long/tuneLFADS_18_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.49601,TRAIN.KL.CO_WEIGHT=2.9076e-06,TRAIN.KL.IC_WEIGHT=9.9833e-06,TRAIN.L2.CON_2021-08-06_04-03-23xughc6fn/model_dir",True,True,5000,True,True,False
